show_id,title,type,platform,primary_genre,genres,director,cast,country,language,release_year,date_added,rating,duration,duration_minutes,num_seasons,num_episodes,imdb_rating,rotten_tomatoes_score,imdb_votes,budget_million_usd,production_company,awards_won,hours_watched_million,description
s1,When the Stars Fall,Movie,Netflix,Drama,"Drama, War, Mystery",David Tarantino,"Brad Pitt, Marion Cotillard",Germany,German,2007,2007-05-10,R,102 min,102.0,,,6.3,56,11754,15.7,Marvel Studios,0,7,"As a deadly accident unfolds, criminal discovers his true identity."
s2,A Silent Echo,Movie,Amazon Prime Video,Thriller,"Thriller, Adventure",Bong Nolan,"Park Seo-joon, Lupita Nyong'o",France,French,1996,1996-04-28,R,105 min,105.0,,,7.5,80,4602,184.9,Illumination,0,4,A series of strange events leads detective into a deadly game.
s3,Between Lives,Movie,Netflix,Comedy,"Comedy, Mystery",Hirokazu DuVernay,"Masami Nagasawa, Viola Davis, IU, Priyanka Chopra",South Korea,Korean,2026,2026-05-28,PG-13,92 min,92.0,,,8.6,82,19226,17.5,Skydance Media,1,31,"When artist meets a charming stranger, their lives turn upside down."
s4,A Silent Echo,Movie,Disney+,Thriller,Thriller,Akira Zhao,"Meryl Streep, Sakura Ando, Penélope Cruz",India,Hindi,1994,1994-08-06,PG-13,117 min,117.0,,,5.5,73,90507,7.0,Working Title Films,0,51,"When mother witnesses a crime, they become the target of a shadowy organization."
s5,Labyrinth,Movie,Amazon Prime Video,Action,Action,Akira Blanchett,"Amitabh Bachchan, Idris Elba",Mexico,Spanish,1987,1987-05-22,PG-13,139 min,139.0,,,6.1,62,6487,18.0,Apple Studios,0,12,A former spy is pulled back into action when an old friend returning.
s6,Between Tomorrow and Never,Movie,HBO Max,Thriller,"Thriller, Sci-Fi",Chloé Almodóvar,"Daniel Craig, Park Seo-joon, Javier Bardem, Aamir Khan, Florence Pugh",United States,English,2004,2008-09-18,PG-13,124 min,124.0,,,8.3,77,100633,42.4,CJ Entertainment,1,75,"When journalist witnesses a crime, they become the target of a shadowy organization."
s7,The Recruit,TV Show,Amazon Prime Video,Documentary,Documentary,,"Kareena Kapoor, Paul Mescal",United States,English,2014,2014-12-22,TV-MA,5 Seasons,,5.0,60.0,7.7,82,1033,,Illumination,0,1,The true story of a mysterious disappearance and the people who lived it.
s8,The Morning Show,TV Show,Peacock,Kids,"Kids, Sports",,"Noah Schnapp, Hiroyuki Sanada",Mexico,Spanish,2026,2026-03-28,TV-MA,2 Seasons,,2.0,12.0,6.6,68,45425,,Studio Ghibli,1,65,A journalist must confront his past while discovering who he truly is.
s9,Beyond the Silence,Movie,Peacock,Documentary,Documentary,Alejandro Peele,"Priyanka Chopra, Penélope Cruz",South Korea,Korean,2022,2023-03-07,PG-13,86 min,86.0,,,6.5,49,7610,8.6,Focus Features,0,7,An in-depth look at food culture and its impact on society.
s10,The Last Whisper,Movie,HBO Max,Crime,Crime,Hirokazu Jenkins,"Zendaya, Tom Hanks, Ranveer Singh, Aamir Khan",South Korea,Korean,2017,2017-04-01,R,101 min,101.0,,,5.4,48,60309,10.7,Marvel Studios,0,108,A detective must confront his past while risking everything.
s11,The Lincoln Lawyer,TV Show,Amazon Prime Video,Thriller,Thriller,Ava Blanchett,"Tom Hanks, Kim Soo-hyun, IU, Cate Blanchett, Denzel Washington",United States,English,2016,2017-04-23,TV-MA,3 Seasons,,3.0,66.0,6.2,55,15640,,Universal Pictures,0,7,A series of disappearances leads doctor into a deadly game.
s12,Midnight,Movie,JioCinema,Crime,"Crime, Sci-Fi",Greta Almodóvar,"Emma Thompson, Jennifer Lawrence, Javier Bardem, Will Smith, Ken Watanabe",South Korea,Korean,2017,2017-03-06,PG-13,98 min,98.0,,,8.5,86,13186,21.5,MAPPA,0,19,"As an old friend returning unfolds, musician discovers a hidden truth."
