CustomerID,Platform,Age,AgeGroup,Gender,Location,AccountAge_Months,SignupDate,PreferredLanguage,SubscriptionType,PaymentMethod,PaymentPlan,RenewalStatus, MonthlyCharges_INR , TotalCharges_INR ,PaymentDelays,FailedPayments,No_of_Subscription-Pauses,Referred_to_Friend,Avg_Monthly_WatchTime,Weekly_WatchedTime,Sessions_PerMonth,Avg_SessionDuration_Mins,No_of_ActiveDays,Last_LoginDate,No_of_InactiveDays,Content_Completion_Rate,Videos_Watched,Genres_Viewed,WatchlistSize,NumDownloads,PlatformFriends,DeviceRegistered,BufferingFrequency,PlaybackErrors,ServiceFailureCount,NetworkType,SupportTicketsPerMonth,SatisfactionScore,NetPromoterScore,ThumbsUp,ThumbsDown,AdEngagementRate_%,ChurnLabel,ChurnReason
CUST00001,JioHotstar,36,35-44,Male,Kolkata,17,19-07-2022,Telugu,Basic,UPI,Annual,Yes, ₹ 146.23 ," ₹ 2,333.21 ",1,0,0,Yes,1531  min,356  min,24,35.6,17  days,2023-12-31,1  days,53.6  %,21  nos,Drama,0,4,3,Mobile,1,1,0,4G,3,4,6,17,2,31.8,1,Price
CUST00002,JioHotstar,26,25-34,Female,Chennai,31,27-05-2021,Bengali,Premium,UPI,Annual,Yes, ₹ 498.89 ," ₹ 13,935.08 ",1,0,0,Yes,2011  min,467.7  min,27,49.4,20  days,2023-12-20,12  days,62.7  %,33  nos,Horror,0,4,3,Mobile,1,3,0,WiFi,0,2,2,38,7,0,0,N/A
CUST00003,Amazon Prime,27,25-34,Male,Mumbai,50,30-10-2019,Malayalam,Standard,Wallet,Monthly,Yes, ₹ 322.59 ," ₹ 15,716.76 ",1,0,0,No,540  min,125.6  min,25,60.9,24  days,2023-12-29,3  days,71.8  %,0  nos,Horror,23,1,0,Smart TV,4,1,0,4G,0,2,4,35,9,0,1,Content
CUST00004,Amazon Prime,26,25-34,Male,Chennai,60,23-01-2019,English,Standard,Credit Card,Annual,Yes, ₹ 309.27 ," ₹ 16,761.64 ",1,1,0,No,797  min,185.3  min,15,70.5,11  days,2023-12-23,9  days,65.1  %,35  nos,Drama,0,4,5,Smart TV,2,1,0,WiFi,0,3,5,28,7,0,0,N/A
CUST00005,Netflix,20,18-24,Male,Jaipur,15,09-09-2022,Marathi,Premium,Net Banking,Monthly,Yes, ₹ 521.86 ," ₹ 7,024.12 ",0,0,0,No,1200  min,279.1  min,29,72.8,7  days,2023-12-23,9  days,66.5  %,20  nos,Thriller,9,3,3,Tablet,3,0,0,4G,2,4,7,41,20,0,0,N/A
CUST00006,Netflix,28,25-34,Male,Ahmedabad,10,13-02-2023,Bengali,Basic,Net Banking,Monthly,No, ₹ 144.88 ," ₹ 1,324.59 ",2,0,0,No,1108  min,257.7  min,20,50,16  days,2023-12-27,5  days,69.5  %,56  nos,Horror,16,5,5,Mobile,2,2,1,3G,1,2,2,24,3,54.5,0,N/A
CUST00007,Netflix,32,25-34,Male,Delhi,11,23-01-2023,Tamil,Premium,Credit Card,Monthly,Yes, ₹ 496.25 ," ₹ 5,455.57 ",0,3,0,No,850  min,197.7  min,23,36,19  days,2023-12-30,2  days,56.1  %,57  nos,Sports,17,6,6,Tablet,8,2,0,WiFi,0,2,4,25,19,0,0,N/A
CUST00008,JioHotstar,18,18-24,Female,Kolkata,53,11-08-2019,Marathi,Basic,Credit Card,Monthly,No, ₹ 162.73 ," ₹ 8,464.08 ",0,0,1,No,254  min,59.1  min,18,23.4,8  days,2023-12-28,4  days,78.6  %,87  nos,Sports,33,8,0,Laptop,4,0,0,4G,1,2,8,50,13,4.6,1,Found Alternative
CUST00009,SonyLiv,27,25-34,Female,Chennai,11,23-01-2023,Marathi,Premium,Debit Card,Annual,Yes, ₹ 524.34 ," ₹ 4,903.07 ",0,0,0,No,616  min,143.3  min,16,82.4,13  days,2023-12-29,3  days,46.3  %,34  nos,Action,2,4,4,Mobile,1,0,0,WiFi,2,2,10,33,8,0,0,N/A
CUST00010,SonyLiv,36,35-44,Male,Chennai,39,27-09-2020,English,Basic,Credit Card,Monthly,No, ₹ 146.83 ," ₹ 5,525.23 ",1,0,0,Yes,705  min,164  min,19,62.7,10  days,2024-01-01,0  days,53.2  %,56  nos,Sci-Fi,18,9,5,Tablet,4,1,1,WiFi,0,2,6,23,8,46.9,0,N/A
